Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1740863776.5598946,-3044.0,-6624.0,-480.0,-7587.0,32767.0,8230.0
1740863776.57747,-3384.0,-6976.0,-2052.0,-6356.0,30662.0,965.0
1740863776.5954847,-4824.0,-5528.0,-2468.0,-3864.0,20838.0,-8196.0
1740863776.6140606,-3284.0,-5744.0,-2544.0,2122.0,9227.0,-17856.0
1740863776.6334429,-2384.0,-5696.0,-612.0,6179.0,-551.0,-27973.0
1740863776.6507766,8.0,-1988.0,240.0,8735.0,-10785.0,-32768.0
1740863776.6689541,3444.0,1876.0,1908.0,10412.0,-17082.0,-32768.0
1740863776.6880307,7348.0,3916.0,2388.0,11627.0,-21951.0,-32768.0
1740863776.7054305,12524.0,6796.0,5136.0,9848.0,-28495.0,-32768.0
1740863776.7237506,16212.0,11152.0,7168.0,4484.0,-28537.0,-32768.0
1740863776.7418716,16952.0,12388.0,7816.0,-1576.0,-20288.0,-32768.0
1740863776.7605944,14416.0,12520.0,6100.0,-6877.0,-13229.0,-32768.0
1740863776.7799022,15736.0,14548.0,4088.0,-13177.0,-14213.0,-32768.0
1740863776.7982094,20196.0,19288.0,1640.0,-18794.0,-24001.0,-32768.0
1740863776.816819,25632.0,23552.0,-1180.0,-21857.0,-26665.0,-32768.0
1740863776.8346817,27756.0,18332.0,-3524.0,-22278.0,-21577.0,-32768.0
1740863776.8525212,25132.0,18476.0,-4696.0,-19450.0,-11860.0,-27630.0
1740863776.871749,22560.0,19804.0,-3864.0,-15354.0,-8526.0,-21784.0
1740863776.8893914,21732.0,21156.0,-1316.0,-11856.0,-11124.0,-18331.0
1740863776.908735,21116.0,22180.0,1344.0,-9184.0,-11706.0,-15935.0
1740863776.9259784,21140.0,24780.0,4840.0,-9286.0,-11962.0,-13945.0
1740863776.94393,18580.0,25220.0,4776.0,-15665.0,-2335.0,-12954.0
1740863776.961806,14340.0,27920.0,1212.0,-22856.0,-291.0,-14614.0
1740863776.979692,23768.0,26116.0,-692.0,-29060.0,-19733.0,-9448.0
1740863776.9986498,22972.0,25436.0,-4048.0,-30694.0,-30230.0,193.0
1740863777.0158267,19680.0,23592.0,-6312.0,-28403.0,-28121.0,9844.0
1740863777.0346415,14732.0,22364.0,-6540.0,-25556.0,-27980.0,15503.0
1740863777.053996,12368.0,22792.0,-8012.0,-22724.0,-25290.0,18106.0
1740863777.0718768,10744.0,23096.0,-9128.0,-19068.0,-23292.0,19399.0
1740863777.0906632,10792.0,21768.0,-10212.0,-15763.0,-22786.0,19048.0
1740863777.1083186,10420.0,20472.0,-12416.0,-11467.0,-24300.0,17723.0
1740863777.1267161,9884.0,18708.0,-13948.0,-5131.0,-32768.0,16909.0
1740863777.145897,12184.0,20580.0,-14448.0,3134.0,-32768.0,17384.0
1740863777.1636777,12268.0,18988.0,-12420.0,12844.0,-32768.0,18263.0
1740863777.1817412,10656.0,18940.0,-9784.0,20420.0,-32768.0,20179.0
1740863777.2003405,9648.0,18764.0,-6500.0,21893.0,-32768.0,23116.0
1740863777.2179933,8956.0,15284.0,-4604.0,17774.0,-21804.0,27845.0
1740863777.237065,7432.0,13668.0,-5396.0,12143.0,-11696.0,32767.0
1740863777.2546458,5828.0,14208.0,-5572.0,4983.0,-7080.0,32767.0
1740863777.2729697,5244.0,14548.0,-8244.0,-1836.0,-6623.0,32767.0
1740863777.2912567,3628.0,14572.0,-11712.0,-5495.0,-13629.0,32767.0
1740863777.3105402,2976.0,12508.0,-13784.0,-4514.0,-22072.0,32767.0
1740863777.3289917,1508.0,10920.0,-14392.0,-1824.0,-22625.0,32767.0
1740863777.3475516,-700.0,8116.0,-15536.0,1437.0,-19331.0,29601.0
1740863777.365522,-868.0,8372.0,-15856.0,6077.0,-13787.0,24865.0
1740863777.382884,-844.0,7932.0,-15488.0,9258.0,-7099.0,22607.0
1740863777.4015255,-84.0,8384.0,-14560.0,9657.0,-947.0,21307.0
1740863777.4213912,-400.0,7988.0,-16580.0,8393.0,2770.0,19682.0
1740863777.4388142,196.0,6616.0,-17412.0,8262.0,1759.0,17744.0
1740863777.4569228,372.0,4720.0,-17808.0,9156.0,-502.0,15662.0
1740863777.47504,284.0,3388.0,-17724.0,10583.0,-2928.0,12926.0
1740863777.4932656,284.0,3388.0,-17724.0,10583.0,-2928.0,12926.0
1740863777.5117934,284.0,3388.0,-17724.0,10583.0,-2928.0,12926.0
1740863777.530659,284.0,3388.0,-17724.0,10583.0,-2928.0,12926.0
1740863777.5493677,284.0,3388.0,-17724.0,10583.0,-2928.0,12926.0
1740863777.5680776,284.0,3388.0,-17724.0,10583.0,-2928.0,12926.0
1740863777.585482,284.0,3388.0,-17724.0,10583.0,-2928.0,12926.0
1740863777.6041079,284.0,3388.0,-17724.0,10583.0,-2928.0,12926.0
