Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1739652294.0568392,17296,-31616,-32768,22827,22403,-11582
1739652294.0856209,17036,-30940,-32768,26034,21888,-12196
1739652294.1014838,17544,-29676,-32768,28466,21375,-12393
1739652294.1014838,17636,-28288,-32768,29990,20798,-12171
1739652294.1024852,17780,-27324,-32768,30781,20244,-11758
1739652294.1034827,17584,-26200,-31820,30928,19564,-11137
1739652294.1034827,17496,-25384,-30132,30522,18810,-10481
1739652294.1309204,17524,-25048,-28496,29476,18251,-9804
1739652294.1319222,17344,-24704,-27084,27956,17781,-9022
1739652294.1319222,16584,-24152,-26148,26074,17313,-8181
1739652294.1329195,16060,-23640,-25604,24155,16997,-7333
1739652294.133918,15516,-22736,-25124,22237,16783,-6367
1739652294.1349504,14908,-22032,-24908,20267,16659,-5359
1739652294.1349504,14252,-21392,-24808,18203,16545,-4252
1739652294.1898959,11504,-19264,-25712,7806,16186,-342
1739652294.1918476,10940,-18756,-26784,5332,16074,401
1739652294.1918476,10384,-18328,-27660,3038,16003,1072
1739652294.1932597,9800,-18124,-28448,1189,16026,1473
1739652294.2503474,9204,-18124,-29472,-348,15657,1929
1739652294.431297,8956,-18064,-30168,-1764,15262,2108
1739652294.4919019,8664,-17988,-31216,-2539,14824,2199
1739652294.4925642,8220,-17972,-31988,-3078,14074,2365
1739652294.493075,8040,-17900,-32768,-3350,13385,2485
1739652294.493075,7852,-17980,-32768,-3247,12780,2676
1739652294.4944844,7608,-18208,-32768,-2720,12167,2814
1739652294.4944844,7408,-18312,-32768,-1977,11242,3031
1739652294.4954958,7536,-18108,-32768,-1047,10853,3342
1739652294.4963222,7648,-18080,-32768,262,10673,3553
1739652294.4973958,7052,-18520,-32768,2154,10353,3552
1739652294.4979491,7372,-18592,-32768,4464,9911,3587
1739652294.4985292,7448,-18436,-32768,7061,9386,3406
1739652294.499056,6428,-14412,-13952,-8755,11112,3653
1739652294.5000653,6472,-14864,-15404,-8931,11309,4051
1739652294.5010943,6776,-15364,-16332,-8652,11475,4395
1739652294.5010943,7116,-15524,-17136,-8112,11526,4711
1739652294.5020616,7404,-15500,-17696,-7206,11886,4846
1739652294.5030756,7876,-15564,-17840,-6342,12015,4937
1739652294.504073,8688,-15768,-18292,-5506,12044,5249
